,gameResult,oChamp1,oChamp2,oChamp3,oChamp4,oChamp5,eChamp1,eChamp2,eChamp3,eChamp4,eChamp5
393,1,27,20,21,29,29,4,28,73,2,42
394,1,27,20,2,3,23,35,23,12,28,8
395,1,0,4,63,12,12,13,36,59,2,43
396,1,33,11,52,3,2,53,20,74,27,14
397,0,38,10,26,28,5,13,4,28,26,35
398,0,0,19,34,29,39,48,36,26,13,48
399,0,14,20,0,1,5,35,5,31,3,43
400,1,67,42,43,4,2,77,5,73,13,14
401,1,0,4,41,72,20,19,9,28,28,29
402,1,62,4,21,3,39,77,18,12,13,5
403,0,0,22,74,40,29,43,9,65,13,14
404,1,47,10,16,42,28,77,3,91,60,35
405,1,27,4,63,3,20,58,40,18,78,14
406,0,72,10,98,29,12,77,11,10,13,48
407,0,84,10,65,28,29,63,20,62,2,29
408,1,15,42,98,12,32,15,17,48,31,34
409,1,67,2,81,12,9,77,9,36,40,48
410,1,26,22,43,29,39,77,4,47,13,48
411,1,5,31,16,3,14,0,18,67,28,41
412,1,25,22,31,80,29,22,18,1,13,36
413,0,84,22,75,40,0,22,24,17,2,26
414,0,55,31,2,57,28,63,35,95,27,12
415,1,23,13,67,28,20,77,28,73,54,34
416,1,23,4,29,40,45,0,20,62,2,43
417,1,0,4,41,72,20,19,9,28,28,29
418,1,89,20,75,71,15,58,15,42,27,5
419,1,89,32,21,29,20,60,20,73,3,41
420,0,67,19,34,29,39,23,9,81,48,34
421,1,16,10,36,3,47,46,40,57,13,35
422,1,84,5,2,38,5,0,9,34,69,5
423,1,47,10,2,29,2,63,37,65,25,17
424,0,84,42,74,12,45,47,18,14,2,35
425,1,81,20,81,12,38,25,4,38,2,19
426,1,5,16,10,81,2,23,4,44,78,43
427,1,27,10,2,3,24,32,4,22,28,43
428,0,27,20,21,29,29,4,28,73,2,42
429,0,25,20,75,39,28,23,15,42,2,5
430,1,84,10,75,29,20,48,20,30,2,14
431,1,25,20,20,3,39,63,28,45,68,14
432,0,23,19,75,56,35,47,44,17,38,14
433,0,5,22,70,40,2,47,9,31,8,26
434,1,84,10,98,72,39,19,4,44,57,26
435,1,16,22,65,29,29,35,4,39,13,1
436,0,55,20,37,12,45,58,10,17,28,10
437,1,38,10,26,28,5,13,4,28,26,35
438,0,35,31,18,12,45,76,40,73,2,5
439,1,23,13,67,28,20,77,28,73,54,34
440,1,23,4,29,40,45,0,20,62,2,43
441,0,0,4,41,72,20,19,9,28,28,29
442,0,81,46,75,3,2,63,9,81,13,14
443,1,14,19,75,38,12,63,15,98,40,48
444,1,25,11,74,28,39,47,15,68,13,35
445,1,23,31,43,3,29,0,9,43,13,34
446,0,23,22,31,72,12,15,17,98,57,48
447,1,29,10,1,72,47,19,4,31,57,14
448,0,63,42,44,12,12,63,9,12,3,31
449,0,23,10,98,63,29,0,4,43,78,31
450,0,23,39,45,72,12,77,18,17,39,34
451,0,19,20,81,72,8,21,4,57,78,12
452,1,27,42,75,3,29,15,12,34,40,13
453,0,26,17,27,3,39,19,40,73,27,6
454,1,55,31,2,57,28,63,35,95,27,12
455,0,45,10,18,25,28,47,17,42,2,35
456,1,67,42,43,4,2,77,5,73,13,14
457,0,0,4,41,72,20,19,9,28,28,29
458,1,0,10,21,40,39,22,31,73,2,48
459,1,62,10,91,28,39,2,20,18,80,48
460,1,72,20,98,12,28,0,4,59,70,43
461,1,81,20,81,12,38,25,4,38,2,19
462,1,42,31,43,28,12,63,31,58,11,43
463,1,0,38,20,12,2,13,28,73,2,14
464,0,84,4,75,3,5,75,2,81,28,43
465,0,84,4,74,3,12,35,8,91,60,35
466,1,16,31,67,58,45,0,40,73,69,14
467,1,27,20,81,73,12,77,20,62,13,19
468,1,0,22,75,29,29,23,9,42,8,43
469,1,84,39,98,3,45,78,18,25,3,35
470,0,1,10,93,12,45,4,4,98,2,43
471,0,67,10,16,28,7,45,17,74,2,43
472,0,0,22,93,29,29,47,9,22,43,34
473,1,23,4,29,40,45,0,20,62,2,43
474,0,0,4,41,72,20,19,9,28,28,29
475,1,57,4,98,12,45,58,15,8,78,12
476,0,57,42,21,12,28,77,15,34,2,48
477,0,25,22,31,80,29,22,18,1,13,36
478,1,47,4,70,3,28,49,28,34,13,17
479,1,87,19,74,72,26,71,4,60,13,35
480,1,57,10,81,64,28,75,5,59,2,43
481,1,57,19,75,28,29,15,5,59,13,43
482,0,27,42,16,3,12,49,17,73,13,5
483,1,25,39,0,29,18,80,18,98,69,33
484,1,25,10,46,12,12,23,37,60,40,35
485,1,57,20,75,7,38,56,5,62,13,48
486,1,44,22,61,27,39,35,4,23,40,26
487,0,57,20,75,42,28,77,40,81,2,43
488,0,42,22,98,72,12,53,40,91,40,43
489,0,44,31,93,3,24,39,5,44,13,43
490,0,84,22,95,12,29,21,17,98,60,12
491,0,65,5,65,3,12,24,14,95,13,5
492,1,42,10,2,63,29,13,8,60,2,29
493,1,55,31,2,57,28,63,35,95,27,12
494,0,45,10,18,25,28,47,17,42,2,35
495,1,67,42,43,4,2,77,5,73,13,14
496,0,0,4,41,72,20,19,9,28,28,29
497,1,3,10,67,29,45,47,8,91,13,14
498,1,62,10,91,28,39,2,20,18,80,48
499,1,72,20,98,12,28,0,4,59,70,43
500,1,81,20,81,12,38,25,4,38,2,19
501,0,84,4,75,3,5,75,2,81,28,43
